year,city,country,avg_temp,global_temp
1750,New York,United States,10.07,8.72
1751,New York,United States,10.79,7.98
1752,New York,United States,2.81,5.78
1753,New York,United States,9.52,8.39
1754,New York,United States,9.88,8.47
1755,New York,United States,6.61,8.36
1756,New York,United States,9.94,8.85
1757,New York,United States,8.89,9.02
1758,New York,United States,8.15,6.74
1759,New York,United States,9.01,7.99
1760,New York,United States,7.73,7.19
1761,New York,United States,10.18,8.77
1762,New York,United States,9.55,8.61
1763,New York,United States,7.23,7.50
1764,New York,United States,9.55,8.40
1765,New York,United States,8.96,8.25
1766,New York,United States,10.09,8.41
1767,New York,United States,8.52,8.22
1768,New York,United States,8.67,6.78
1769,New York,United States,9.10,7.69
1770,New York,United States,9.04,7.69
1771,New York,United States,10.18,7.85
1772,New York,United States,9.64,8.19
1773,New York,United States,10.08,8.22
1774,New York,United States,9.52,8.77
1775,New York,United States,10.24,9.18
1776,New York,United States,9.13,8.30
1777,New York,United States,8.77,8.26
1778,New York,United States,6.89,8.54
1779,New York,United States,0.25,8.98
1780,New York,United States,,9.43
1781,New York,United States,9.79,8.10
1782,New York,United States,9.15,7.90
1783,New York,United States,8.81,7.68
1784,New York,United States,8.40,7.86
1785,New York,United States,8.49,7.36
1786,New York,United States,8.98,8.26
1787,New York,United States,8.97,8.03
1788,New York,United States,9.77,8.45
1789,New York,United States,9.42,8.33
1790,New York,United States,9.39,7.98
1791,New York,United States,9.37,8.23
1792,New York,United States,8.72,8.09
1793,New York,United States,9.88,8.23
1794,New York,United States,9.83,8.53
1795,New York,United States,9.21,8.35
1796,New York,United States,8.97,8.27
1797,New York,United States,8.85,8.51
1798,New York,United States,9.71,8.67
1799,New York,United States,9.19,8.51
1800,New York,United States,9.58,8.48
1801,New York,United States,10.00,8.59
1802,New York,United States,10.29,8.58
1803,New York,United States,10.07,8.50
1804,New York,United States,9.69,8.84
1805,New York,United States,10.43,8.56
1806,New York,United States,9.38,8.43
1807,New York,United States,9.17,8.28
1808,New York,United States,9.57,7.63
1809,New York,United States,8.87,7.08
1810,New York,United States,9.35,6.92
1811,New York,United States,9.43,6.86
1812,New York,United States,7.80,7.05
1813,New York,United States,8.93,7.74
1814,New York,United States,8.70,7.59
1815,New York,United States,8.27,7.24
1816,New York,United States,7.92,6.94
1817,New York,United States,7.78,6.98
1818,New York,United States,8.13,7.83
1819,New York,United States,9.07,7.37
1820,New York,United States,8.98,7.62
1821,New York,United States,8.53,8.09
1822,New York,United States,9.84,8.19
1823,New York,United States,8.64,7.72
1824,New York,United States,9.29,8.55
1825,New York,United States,10.21,8.39
1826,New York,United States,9.92,8.36
1827,New York,United States,9.26,8.81
1828,New York,United States,10.70,8.17
1829,New York,United States,9.17,7.94
1830,New York,United States,10.32,8.52
1831,New York,United States,9.07,7.64
1832,New York,United States,9.15,7.45
1833,New York,United States,9.15,8.01
1834,New York,United States,9.32,8.15
1835,New York,United States,8.48,7.39
1836,New York,United States,7.51,7.70
1837,New York,United States,8.12,7.38
1838,New York,United States,8.73,7.51
1839,New York,United States,9.17,7.63
1840,New York,United States,9.27,7.80
1841,New York,United States,9.00,7.69
1842,New York,United States,9.41,8.02
1843,New York,United States,8.49,8.17
1844,New York,United States,9.12,7.65
1845,New York,United States,9.49,7.85
1846,New York,United States,9.66,8.55
1847,New York,United States,9.30,8.09
1848,New York,United States,9.54,7.98
1849,New York,United States,8.83,7.98
1850,New York,United States,9.10,7.90
1851,New York,United States,9.26,8.18
1852,New York,United States,8.98,8.10
1853,New York,United States,9.68,8.04
1854,New York,United States,9.56,8.21
1855,New York,United States,9.11,8.11
1856,New York,United States,8.20,8.00
1857,New York,United States,8.52,7.76
1858,New York,United States,9.13,8.10
1859,New York,United States,9.17,8.25
1860,New York,United States,9.18,7.96
1861,New York,United States,9.47,7.85
1862,New York,United States,9.00,7.56
1863,New York,United States,9.09,8.11
1864,New York,United States,9.29,7.98
1865,New York,United States,9.64,8.18
1866,New York,United States,8.95,8.29
1867,New York,United States,8.59,8.44
1868,New York,United States,7.95,8.25
1869,New York,United States,8.85,8.43
1870,New York,United States,10.04,8.20
1871,New York,United States,8.94,8.12
1872,New York,United States,8.61,8.19
1873,New York,United States,8.44,8.35
1874,New York,United States,9.06,8.43
1875,New York,United States,7.74,7.86
1876,New York,United States,9.35,8.08
1877,New York,United States,10.15,8.54
1878,New York,United States,10.38,8.83
1879,New York,United States,9.37,8.17
1880,New York,United States,9.99,8.12
1881,New York,United States,9.77,8.27
1882,New York,United States,9.22,8.13
1883,New York,United States,8.59,7.98
1884,New York,United States,9.36,7.77
1885,New York,United States,8.37,7.92
1886,New York,United States,8.90,7.95
1887,New York,United States,9.10,7.91
1888,New York,United States,8.31,8.09
1889,New York,United States,9.86,8.32
1890,New York,United States,9.62,7.97
1891,New York,United States,10.00,8.02
1892,New York,United States,9.15,8.07
1893,New York,United States,8.68,8.06
1894,New York,United States,9.95,8.16
1895,New York,United States,9.22,8.15
1896,New York,United States,9.51,8.21
1897,New York,United States,9.63,8.29
1898,New York,United States,10.24,8.18
1899,New York,United States,9.51,8.40
1900,New York,United States,10.40,8.50
1901,New York,United States,9.29,8.54
1902,New York,United States,9.43,8.30
1903,New York,United States,9.32,8.22
1904,New York,United States,7.87,8.09
1905,New York,United States,9.10,8.23
1906,New York,United States,9.90,8.38
1907,New York,United States,8.49,7.95
1908,New York,United States,9.87,8.19
1909,New York,United States,9.51,8.18
1910,New York,United States,9.55,8.22
1911,New York,United States,9.91,8.18
1912,New York,United States,9.24,8.17
1913,New York,United States,10.76,8.30
1914,New York,United States,9.02,8.59
1915,New York,United States,9.85,8.59
1916,New York,United States,9.10,8.23
1917,New York,United States,8.24,8.02
1918,New York,United States,9.51,8.13
1919,New York,United States,10.05,8.38
1920,New York,United States,9.19,8.36
1921,New York,United States,10.91,8.57
1922,New York,United States,10.04,8.41
1923,New York,United States,9.51,8.42
1924,New York,United States,8.85,8.51
1925,New York,United States,9.72,8.53
1926,New York,United States,8.54,8.73
1927,New York,United States,9.70,8.52
1928,New York,United States,9.82,8.63
1929,New York,United States,9.97,8.24
1930,New York,United States,10.22,8.63
1931,New York,United States,11.03,8.72
1932,New York,United States,10.44,8.71
1933,New York,United States,10.18,8.34
1934,New York,United States,9.48,8.63
1935,New York,United States,9.48,8.52
1936,New York,United States,9.73,8.55
1937,New York,United States,10.16,8.70
1938,New York,United States,10.42,8.86
1939,New York,United States,10.07,8.76
1940,New York,United States,8.53,8.76
1941,New York,United States,10.19,8.77
1942,New York,United States,9.96,8.73
1943,New York,United States,9.58,8.76
1944,New York,United States,10.01,8.85
1945,New York,United States,9.94,8.58
1946,New York,United States,10.63,8.68
1947,New York,United States,9.91,8.80
1948,New York,United States,9.83,8.75
1949,New York,United States,11.39,8.59
1950,New York,United States,9.72,8.37
1951,New York,United States,10.27,8.63
1952,New York,United States,10.52,8.64
1953,New York,United States,11.17,8.87
1954,New York,United States,10.31,8.56
1955,New York,United States,10.39,8.63
1956,New York,United States,9.75,8.28
1957,New York,United States,10.50,8.73
1958,New York,United States,9.16,8.77
1959,New York,United States,10.77,8.73
1960,New York,United States,9.76,8.58
1961,New York,United States,10.03,8.80
1962,New York,United States,9.32,8.75
1963,New York,United States,9.32,8.86
1964,New York,United States,9.96,8.41
1965,New York,United States,9.63,8.53
1966,New York,United States,9.75,8.60
1967,New York,United States,9.30,8.70
1968,New York,United States,9.75,8.52
1969,New York,United States,9.76,8.60
1970,New York,United States,9.77,8.70
1971,New York,United States,10.01,8.60
