year,city,country,avg_temp,global_temp
1796,Agra,India,25.05,8.27
1797,Agra,India,26.71,8.51
1798,Agra,India,24.19,8.67
1799,Agra,India,25.31,8.51
1800,Agra,India,25.25,8.48
1801,Agra,India,24.11,8.59
1802,Agra,India,25.69,8.58
1803,Agra,India,25.44,8.50
1804,Agra,India,25.76,8.84
1805,Agra,India,25.35,8.56
1806,Agra,India,25.26,8.43
1807,Agra,India,24.86,8.28
1808,Agra,India,,7.63
1809,Agra,India,,7.08
1810,Agra,India,,6.92
1811,Agra,India,,6.86
1812,Agra,India,,7.05
1813,Agra,India,24.60,7.74
1814,Agra,India,23.71,7.59
1815,Agra,India,24.13,7.24
1816,Agra,India,23.77,6.94
1817,Agra,India,23.91,6.98
1818,Agra,India,24.32,7.83
1819,Agra,India,23.93,7.37
1820,Agra,India,24.15,7.62
1821,Agra,India,24.88,8.09
1822,Agra,India,24.98,8.19
1823,Agra,India,24.73,7.72
1824,Agra,India,25.35,8.55
1825,Agra,India,25.15,8.39
1826,Agra,India,25.17,8.36
1827,Agra,India,25.36,8.81
1828,Agra,India,24.95,8.17
1829,Agra,India,24.76,7.94
1830,Agra,India,25.08,8.52
1831,Agra,India,24.51,7.64
1832,Agra,India,24.72,7.45
1833,Agra,India,24.89,8.01
1834,Agra,India,24.84,8.15
1835,Agra,India,23.93,7.39
1836,Agra,India,24.61,7.70
1837,Agra,India,24.50,7.38
1838,Agra,India,24.48,7.51
1839,Agra,India,24.56,7.63
1840,Agra,India,24.79,7.80
1841,Agra,India,24.57,7.69
1842,Agra,India,24.79,8.02
1843,Agra,India,24.75,8.17
1844,Agra,India,24.39,7.65
1845,Agra,India,24.65,7.85
1846,Agra,India,25.15,8.55
1847,Agra,India,24.67,8.09
1848,Agra,India,24.52,7.98
1849,Agra,India,24.53,7.98
1850,Agra,India,24.86,7.90
1851,Agra,India,24.82,8.18
1852,Agra,India,24.67,8.10
1853,Agra,India,24.97,8.04
1854,Agra,India,25.08,8.21
1855,Agra,India,25.23,8.11
1856,Agra,India,23.84,8.00
1857,Agra,India,24.32,7.76
1858,Agra,India,,8.10
1859,Agra,India,,8.25
1860,Agra,India,,7.96
1861,Agra,India,,7.85
1862,Agra,India,,7.56
1863,Agra,India,,8.11
1864,Agra,India,,7.98
1865,Agra,India,27.27,8.18
1866,Agra,India,15.61,8.29
1867,Agra,India,20.43,8.44
1868,Agra,India,24.91,8.25
1869,Agra,India,25.06,8.43
1870,Agra,India,24.91,8.20
1871,Agra,India,24.95,8.12
1872,Agra,India,24.97,8.19
1873,Agra,India,25.08,8.35
1874,Agra,India,25.01,8.43
1875,Agra,India,25.39,7.86
1876,Agra,India,25.05,8.08
1877,Agra,India,25.30,8.54
1878,Agra,India,25.42,8.83
1879,Agra,India,24.79,8.17
1880,Agra,India,25.37,8.12
1881,Agra,India,24.93,8.27
1882,Agra,India,24.84,8.13
1883,Agra,India,24.87,7.98
1884,Agra,India,24.64,7.77
1885,Agra,India,24.49,7.92
1886,Agra,India,24.92,7.95
1887,Agra,India,24.87,7.91
1888,Agra,India,24.93,8.09
1889,Agra,India,25.32,8.32
1890,Agra,India,25.09,7.97
1891,Agra,India,24.72,8.02
1892,Agra,India,25.50,8.07
1893,Agra,India,23.92,8.06
1894,Agra,India,24.89,8.16
1895,Agra,India,25.20,8.15
1896,Agra,India,26.04,8.21
1897,Agra,India,25.67,8.29
1898,Agra,India,25.50,8.18
1899,Agra,India,25.73,8.40
1900,Agra,India,25.68,8.50
1901,Agra,India,25.55,8.54
1902,Agra,India,25.72,8.30
1903,Agra,India,25.20,8.22
1904,Agra,India,24.99,8.09
1905,Agra,India,24.83,8.23
1906,Agra,India,25.22,8.38
1907,Agra,India,25.12,7.95
1908,Agra,India,25.22,8.19
1909,Agra,India,24.82,8.18
1910,Agra,India,24.87,8.22
1911,Agra,India,25.38,8.18
1912,Agra,India,25.28,8.17
1913,Agra,India,25.11,8.30
1914,Agra,India,25.31,8.59
1915,Agra,India,25.67,8.59
1916,Agra,India,25.02,8.23
1917,Agra,India,23.90,8.02
1918,Agra,India,25.36,8.13
1919,Agra,India,24.92,8.38
1920,Agra,India,25.16,8.36
1921,Agra,India,25.98,8.57
1922,Agra,India,25.19,8.41
1923,Agra,India,25.40,8.42
