year,city,country,avg_temp,global_temp
1750,Bern,Switzerland,7.61,8.72
1751,Bern,Switzerland,7.73,7.98
1752,Bern,Switzerland,2.86,5.78
1753,Bern,Switzerland,6.83,8.39
1754,Bern,Switzerland,6.55,8.47
1755,Bern,Switzerland,6.21,8.36
1756,Bern,Switzerland,6.60,8.85
1757,Bern,Switzerland,6.30,9.02
1758,Bern,Switzerland,5.92,6.74
1759,Bern,Switzerland,7.06,7.99
1760,Bern,Switzerland,7.27,7.19
1761,Bern,Switzerland,7.03,8.77
1762,Bern,Switzerland,6.64,8.61
1763,Bern,Switzerland,6.43,7.50
1764,Bern,Switzerland,6.98,8.40
1765,Bern,Switzerland,6.69,8.25
1766,Bern,Switzerland,6.39,8.41
1767,Bern,Switzerland,6.20,8.22
1768,Bern,Switzerland,6.30,6.78
1769,Bern,Switzerland,6.67,7.69
1770,Bern,Switzerland,6.52,7.69
1771,Bern,Switzerland,6.54,7.85
1772,Bern,Switzerland,7.93,8.19
1773,Bern,Switzerland,6.88,8.22
1774,Bern,Switzerland,6.72,8.77
1775,Bern,Switzerland,7.25,9.18
1776,Bern,Switzerland,6.55,8.30
1777,Bern,Switzerland,6.45,8.26
1778,Bern,Switzerland,7.29,8.54
1779,Bern,Switzerland,7.65,8.98
1780,Bern,Switzerland,6.95,9.43
1781,Bern,Switzerland,7.78,8.10
1782,Bern,Switzerland,6.07,7.90
1783,Bern,Switzerland,7.46,7.68
1784,Bern,Switzerland,5.96,7.86
1785,Bern,Switzerland,5.89,7.36
1786,Bern,Switzerland,6.17,8.26
1787,Bern,Switzerland,7.08,8.03
1788,Bern,Switzerland,7.02,8.45
1789,Bern,Switzerland,6.39,8.33
1790,Bern,Switzerland,7.18,7.98
1791,Bern,Switzerland,7.31,8.23
1792,Bern,Switzerland,7.04,8.09
1793,Bern,Switzerland,7.21,8.23
1794,Bern,Switzerland,7.70,8.53
1795,Bern,Switzerland,6.75,8.35
1796,Bern,Switzerland,6.79,8.27
1797,Bern,Switzerland,7.41,8.51
1798,Bern,Switzerland,6.99,8.67
1799,Bern,Switzerland,5.49,8.51
1800,Bern,Switzerland,7.14,8.48
1801,Bern,Switzerland,7.43,8.59
1802,Bern,Switzerland,7.29,8.58
1803,Bern,Switzerland,6.41,8.50
1804,Bern,Switzerland,7.02,8.84
1805,Bern,Switzerland,5.33,8.56
1806,Bern,Switzerland,7.58,8.43
1807,Bern,Switzerland,7.04,8.28
1808,Bern,Switzerland,5.72,7.63
1809,Bern,Switzerland,6.51,7.08
1810,Bern,Switzerland,6.57,6.92
1811,Bern,Switzerland,7.77,6.86
